id,runs,type,bowler
157990,4,byes,PP Chawla
158011,1,wides,SR Watson
158018,1,wides,KM Asif
158029,1,wides,AD Russell
158084,1,wides,Shivam Mavi
158098,1,wides,Kuldeep Yadav
158128,5,wides,RA Jadeja
158140,1,wides,RA Jadeja
158155,1,wides,DJ Bravo
158156,1,legbyes,DJ Bravo
158180,1,wides,L Ngidi
158191,1,wides,DJ Bravo
158224,1,wides,Mujeeb Ur Rahman
158251,1,wides,HH Pandya
158260,1,wides,MJ McClenaghan
158324,1,wides,AJ Tye
158345,4,legbyes,AJ Tye
158346,1,wides,HH Pandya
158365,1,wides,M Markande
158370,4,legbyes,HH Pandya
158393,1,wides,HH Pandya
158411,1,legbyes,JJ Bumrah
158445,1,legbyes,L Ngidi
158471,1,legbyes,DJ Willey
158474,1,wides,L Ngidi
158483,1,legbyes,UT Yadav
158564,1,legbyes,L Ngidi
158613,1,legbyes,C de Grandhomme
158617,1,wides,M Ashwin
158620,1,wides,M Ashwin
158650,1,legbyes,C de Grandhomme
158654,1,wides,YS Chahal
158657,1,noballs,YS Chahal
158719,2,wides,TA Boult
158733,1,noballs,Avesh Khan
158795,1,wides,S Kaul
158797,1,legbyes,S Kaul
158833,1,wides,Sandeep Sharma
158851,1,wides,A Mishra
158855,1,wides,LE Plunkett
158899,1,wides,TA Boult
158921,4,byes,JJ Bumrah
158945,1,wides,HH Pandya
158994,1,wides,N Rana
159053,4,legbyes,JJ Bumrah
159088,1,wides,AD Russell
159133,1,wides,MG Johnson
159138,1,wides,MG Johnson
159139,1,legbyes,MG Johnson
159150,1,wides,M Prasidh Krishna
159168,1,legbyes,Mujeeb Ur Rahman
159185,1,legbyes,AR Patel
159202,4,byes,AS Rajpoot
159208,1,wides,K Gowtham
159216,1,wides,JC Archer
159254,1,legbyes,AJ Tye
159280,1,wides,Mujeeb Ur Rahman
159393,1,wides,JD Unadkat
159411,1,wides,TG Southee
159432,1,wides,Sandeep Sharma
159494,1,noballs,YS Chahal
159501,1,wides,C de Grandhomme
159506,1,wides,Mohammed Siraj
159515,1,wides,UT Yadav
159537,1,legbyes,TG Southee
159542,1,legbyes,Mohammed Siraj
159554,1,legbyes,MM Ali
159560,1,wides,UT Yadav
159608,1,wides,Rashid Khan
159612,1,legbyes,S Kaul
159618,1,wides,Rashid Khan
159636,1,legbyes,B Kumar
159703,1,wides,MM Sharma
159741,1,legbyes,IS Sodhi
159751,4,byes,K Gowtham
159795,1,noballs,JD Unadkat
159812,1,wides,K Gowtham
159837,1,byes,Mujeeb Ur Rahman
159871,1,noballs,MM Sharma
159918,1,byes,SP Narine
159973,1,byes,PP Chawla
159988,1,wides,AD Russell
159990,1,wides,AD Russell
160018,1,noballs,TK Curran
160029,1,wides,TK Curran
160037,1,wides,M Prasidh Krishna
160101,1,legbyes,M Markande
160179,1,legbyes,LE Plunkett
160200,1,wides,V Shankar
160234,1,legbyes,Rashid Khan
160258,1,wides,B Kumar
160293,1,legbyes,B Kumar
160376,1,legbyes,KV Sharma
160390,1,wides,SN Thakur
160405,1,noballs,JC Archer
160406,1,wides,JC Archer
160418,1,wides,BA Stokes
160424,1,wides,JD Unadkat
160510,1,wides,DJ Willey
160547,1,wides,JC Archer
160548,1,wides,JC Archer
160551,1,wides,JC Archer
160568,1,legbyes,IS Sodhi
160575,1,wides,JD Unadkat
160576,1,wides,JD Unadkat
160587,1,wides,JD Unadkat
160606,1,wides,JC Archer
160614,1,wides,AR Patel
160620,1,wides,R Ashwin
160688,1,wides,JPR Scantlebury-Searles
160746,1,wides,AJ Tye
160748,1,wides,AJ Tye
160754,1,wides,MM Sharma
160782,1,wides,JPR Scantlebury-Searles
160802,1,wides,Kuldeep Yadav
160827,1,wides,JPR Scantlebury-Searles
160837,1,wides,M Prasidh Krishna
160844,1,legbyes,AD Russell
160848,1,wides,M Prasidh Krishna
160863,1,wides,MM Ali
160874,1,wides,TG Southee
160881,1,legbyes,UT Yadav
160903,4,byes,S Lamichhane
160919,1,wides,CJ Dala
160969,1,wides,MM Ali
160996,1,wides,TG Southee
161008,1,noballs,TG Southee
161025,1,wides,UT Yadav
161038,1,wides,A Mishra
161086,1,wides,HV Patel
161088,1,wides,HV Patel
161092,3,wides,HV Patel
161171,1,legbyes,DL Chahar
161173,1,wides,DL Chahar
161174,1,legbyes,DL Chahar
161180,1,wides,Harbhajan Singh
161236,1,wides,Sandeep Sharma
161270,1,wides,DL Chahar
161279,1,wides,DJ Bravo
161296,1,wides,SR Watson
161297,1,legbyes,SR Watson
161309,1,wides,DL Chahar
161330,1,wides,DJ Bravo
161339,1,wides,SN Thakur
161340,1,wides,SN Thakur
161342,1,wides,SN Thakur
161358,1,wides,JC Archer
161361,1,wides,JC Archer
161389,1,wides,K Gowtham
161392,5,wides,JJ Bumrah
161401,1,wides,MJ McClenaghan
161404,1,legbyes,MJ McClenaghan
161413,1,wides,MJ McClenaghan
161450,1,legbyes,JC Archer
161459,1,wides,K Gowtham
161477,1,wides,BA Stokes
161492,1,wides,JC Archer
161501,1,wides,JD Unadkat
161507,1,legbyes,BA Stokes
161575,2,wides,MJ McClenaghan
161602,1,legbyes,TG Southee
161636,1,legbyes,MP Stoinis
161644,1,noballs,AS Rajpoot
161672,1,wides,C de Grandhomme
161679,1,legbyes,YS Chahal
161684,1,wides,C de Grandhomme
161691,1,wides,AS Rajpoot
161699,1,legbyes,AJ Tye
161712,1,wides,Mohammed Siraj
161759,1,legbyes,M Prasidh Krishna
161791,1,wides,SP Narine
161878,1,wides,BA Stokes
161937,1,legbyes,BA Stokes
161959,1,legbyes,MM Sharma
161976,1,legbyes,MM Sharma
161993,1,noballs,MM Sharma
161994,1,legbyes,MM Sharma
161995,1,legbyes,MM Sharma
162022,1,legbyes,HH Pandya
162057,1,wides,AR Patel
162077,1,wides,AS Rajpoot
162078,1,legbyes,AS Rajpoot
162103,1,wides,AJ Tye
162112,1,wides,MM Sharma
