id,dismissalKind,playerDismissed,fielder
8231,caught,V Sehwag,WP Saha
8241,caught,G Gambhir,DJ Hussey
8251,caught,AB de Villiers,T Taibu
8252,lbw,MK Tiwary,
8259,caught,DJ Hussey,MK Tiwary
8264,caught,Salman Butt,GD McGrath
8279,run out,T Taibu,"TM Dilshan,AB de Villiers"
8293,caught,LR Shukla,G Gambhir
8338,caught,A Chopra,MF Maharoof
8346,bowled,SC Ganguly,
8404,run out,MF Maharoof,AB Dinda
8412,caught,A Mishra,I Sharma
8413,caught,PJ Sangwan,DJ Hussey
8416,bowled,VY Mahesh,
8434,bowled,S Dhawan,
8456,run out,TM Dilshan,"LR Shukla,WP Saha"
8473,caught,S Vidyut,RR Raje
8491,caught,SK Raina,YV Takawale
8534,caught and bowled,S Badrinath,
8543,caught,JA Morkel,RV Uthappa
8588,bowled,SP Fleming,
8590,caught,CK Kapugedera,YV Takawale
8636,bowled,SR Tendulkar,
8756,caught,SE Marsh,Younis Khan
8760,run out,Yuvraj Singh,"YK Pathan,SR Watson"
8769,bowled,M Kaif,
8790,bowled,Younis Khan,
8840,caught,JR Hopes,D Salunkhe
8870,caught,YK Pathan,SE Marsh
8875,caught and bowled,D Salunkhe,
8887,caught,Kamran Akmal,WA Mota
8908,bowled,Niraj Patel,
8916,caught,SR Watson,IK Pathan
8936,run out,TM Dilshan,AC Gilchrist
8938,caught,AC Gilchrist,TM Dilshan
8963,caught,Shahid Afridi,AB de Villiers (sub)
8976,bowled,HH Gibbs,
8991,caught,MF Maharoof,RG Sharma
9008,caught,V Sehwag,RP Singh
9098,stumped,G Gambhir,AC Gilchrist
9113,caught,SB Styris,AB de Villiers (sub)
9118,caught,Y Venugopal Rao,Shoaib Malik (sub)
9123,caught,DB Ravi Teja,Shoaib Malik (sub)
9124,caught,PP Ojha,TM Dilshan
9125,stumped,RP Singh,KD Karthik
9165,bowled,RG Sharma,
9187,caught,Salman Butt,SR Tendulkar
9188,run out,A Chopra,"RV Uthappa,SM Pollock"
9198,caught,DJ Hussey,YV Takawale
9213,caught,Mohammad Hafeez,RV Uthappa
9220,caught,WP Saha,SR Tendulkar
9228,bowled,LR Shukla,
9250,caught,RV Uthappa,SC Ganguly
9267,caught,Shoaib Akhtar,SR Tendulkar
9290,caught,SC Ganguly,YV Takawale
9297,caught,AB Agarkar,SR Tendulkar
9302,caught and bowled,I Sharma,
9305,caught,SR Tendulkar,WP Saha
9355,caught,Yuvraj Singh,MF Maharoof
9358,caught,JR Hopes,Shoaib Malik
9392,bowled,G Gambhir,
9405,caught,S Dhawan,PP Chawla
9414,caught,TM Dilshan,LA Pomersbach
9416,caught,MF Maharoof,RR Powar
9425,caught,SE Marsh,S Dhawan
9517,caught,J Arunkumar,SK Trivedi
9522,caught,Misbah-ul-Haq,T Kohli (sub)
9529,bowled,V Kohli,
9588,caught,SA Asnodkar,Misbah-ul-Haq
9601,caught,DT Patil,RA Jadeja
9602,caught,P Kumar,M Kaif
9611,caught and bowled,Z Khan,
9631,caught,A Kumble,M Rawat
9647,caught,CL White,SK Trivedi
9661,caught,JH Kallis,YK Pathan
9688,bowled,PR Shah,
9693,caught,Shahid Afridi,DJ Thornely
9711,caught,AC Gilchrist,PR Shah
9712,lbw,RG Sharma,
9747,caught,AM Nayar,RG Sharma
9749,bowled,DJ Bravo,
9778,caught,ST Jayasuriya,RP Singh
9811,caught,SR Tendulkar,LPC Silva
9813,lbw,DJ Thornely,
9840,caught,RV Uthappa,Shahid Afridi
9876,caught,Y Venugopal Rao,PR Shah
9878,bowled,DB Ravi Teja,
9886,run out,H Das,YV Takawale
9908,caught,LPC Silva,YV Takawale
9961,caught,Mohammad Hafeez,MS Gony
9993,bowled,DB Das,
9994,bowled,DJ Hussey,
10000,lbw,Salman Butt,
10045,bowled,SC Ganguly,
10140,caught,B Chipli,R Bhatia
10148,caught,JH Kallis,KD Karthik
10177,bowled,R Dravid,
10236,caught,V Sehwag,B Chipli
10248,run out,G Gambhir,"CL White,SP Goswami"
10276,stumped,TM Dilshan,SP Goswami
10280,caught,AB de Villiers,SP Goswami
10285,caught,SP Goswami,TM Dilshan
10290,run out,CL White,"MF Maharoof,Shoaib Malik (sub),KD Karthik"
10300,run out,B Akhil,"V Sehwag,MF Maharoof"
10307,bowled,P Kumar,
10328,caught,KD Karthik,CL White
10364,bowled,SR Watson,
10376,caught,Sohail Tanvir,Salman Butt
10379,caught,GC Smith,WP Saha
10436,caught,Mohammad Hafeez,SA Asnodkar
10467,lbw,Salman Butt,
10498,bowled,DJ Hussey,
10515,caught,SC Ganguly,M Kaif
10532,bowled,DB Das,
10535,caught,LR Shukla,SA Asnodkar
10538,run out,AB Agarkar,"RA Jadeja,M Rawat"
10544,caught,Umar Gul,M Kaif
10559,caught,SA Asnodkar,WP Saha
10619,caught,SE Marsh,SM Pollock
10632,caught,Yuvraj Singh,DR Smith
10637,caught and bowled,DPMD Jayawardene,
10652,caught,JR Hopes,PR Shah
10707,run out,DR Smith,"Yuvraj Singh,PP Chawla"
10735,caught,AM Nayar,TM Srivastava
10758,run out,SR Tendulkar,IK Pathan
10759,caught,SM Pollock,PP Chawla
10764,caught,RV Uthappa,JR Hopes
10793,lbw,ST Jayasuriya,
10814,run out,SD Chitnis,TM Srivastava
10816,run out,A Nehra,"TM Srivastava,DPMD Jayawardene,U Kaul"
10818,run out,VS Yeligati,Yuvraj Singh
10819,caught,PR Shah,VRV Singh
10836,caught,Misbah-ul-Haq,PA Patel
10838,caught,V Kohli,JA Morkel
10866,lbw,MV Boucher,
10877,caught,R Dravid,MS Dhoni
10908,caught,JH Kallis,SP Fleming
10931,caught,SP Goswami,PA Patel
10956,caught and bowled,PA Patel,
10967,caught,MS Dhoni,A Kumble
10982,caught,SP Fleming,B Akhil
10986,lbw,S Badrinath,
10995,caught,JA Morkel,R Vinay Kumar
10998,caught,S Vidyut,JH Kallis
11009,caught,MS Gony,DW Steyn
11017,bowled,P Kumar,
11018,bowled,R Vinay Kumar,
11067,run out,L Balaji,"R Dravid,SP Goswami"
11082,caught,KC Sangakkara,LPC Silva
11120,caught,SE Marsh,HH Gibbs
11129,caught,LA Pomersbach,RG Sharma
11142,caught,Yuvraj Singh,RP Singh
11213,bowled,HH Gibbs,
11235,bowled,AC Gilchrist,
11252,bowled,RG Sharma,
11259,caught,Y Venugopal Rao,PP Chawla
11314,bowled,SR Tendulkar,
11354,caught,ST Jayasuriya,TM Dilshan
11358,caught,AM Nayar,TM Dilshan
11386,caught,DR Smith,B Geeves
11423,caught,G Gambhir,DR Smith
11459,caught,S Dhawan,SD Chitnis
11460,bowled,TM Dilshan,
11485,run out,MK Tiwary,ST Jayasuriya
11500,bowled,SM Pollock,
11510,caught,SD Chitnis,S Dhawan
11512,caught,PR Shah,B Geeves
11515,run out,A Nel,V Sehwag
11523,bowled,V Sehwag,
11599,caught,GC Smith,MS Dhoni
11613,caught,YK Pathan,M Muralitharan
11622,run out,SA Asnodkar,"MS Dhoni,PA Patel"
11689,caught,SK Raina,M Kaif
11730,stumped,PA Patel,Kamran Akmal
11747,caught,M Kaif,A Mukund
11757,run out,T Kohli,"S Badrinath,PA Patel"
11768,run out,SP Fleming,"Sohail Tanvir,Kamran Akmal"
11787,caught,MS Dhoni,M Kaif
11793,caught,S Badrinath,T Kohli
11802,caught,JA Morkel,RA Jadeja (sub)
11803,bowled,A Mukund,
11831,caught,HH Gibbs,A Kumble
11895,bowled,B Chipli,
11951,caught,W Jaffer,HH Gibbs
11962,bowled,JH Kallis,
11965,caught,V Kohli,SB Bangar
11971,lbw,Misbah-ul-Haq,
11996,bowled,MV Boucher,
12003,run out,P Kumar,"SB Bangar,SB Styris"
12005,caught,R Dravid,AS Yadav
12029,caught,AC Gilchrist,W Jaffer
12033,lbw,VVS Laxman,
12034,lbw,SB Styris,
12047,caught,Shahid Afridi,DW Steyn
12049,caught,RG Sharma,W Jaffer
12099,lbw,KC Sangakkara,
12125,caught,SE Marsh,A Chopra
12146,lbw,JR Hopes,
12164,caught,Salman Butt,TM Srivastava
12165,lbw,DB Das,
12184,bowled,DJ Hussey,
12192,bowled,LR Shukla,
12222,caught,WP Saha,IK Pathan
12241,run out,Yuvraj Singh,WP Saha
12249,bowled,IK Pathan,
12250,bowled,PP Chawla,
12286,caught,Umar Gul,RR Powar
12295,caught,A Chopra,KC Sangakkara
12347,stumped,RV Uthappa,Kamran Akmal
12360,caught,ST Jayasuriya,Pankaj Singh
12371,caught and bowled,SR Tendulkar,
12398,run out,Kamran Akmal,MK Pandey
12412,caught,YK Pathan,A Nehra
12425,caught,SA Asnodkar,YV Takawale
12452,run out,M Kaif,"RR Raje,ST Jayasuriya"
12455,caught,SR Watson,SR Tendulkar
12477,lbw,AM Nayar,
12478,caught,SM Pollock,Kamran Akmal
12489,bowled,MK Pandey,
12491,caught,DR Smith,Niraj Patel
12571,caught,SP Fleming,AC Gilchrist
12606,caught,PA Patel,Shahid Afridi
12640,caught,HH Gibbs,L Balaji
12647,caught,AC Gilchrist,A Mukund
12689,bowled,SB Styris,
12743,caught,DB Ravi Teja,A Mukund
12744,run out,Y Venugopal Rao,"MS Gony,PA Patel"
12745,bowled,AS Yadav,
12750,caught,Shahid Afridi,SK Raina
12752,caught,RP Singh,JA Morkel
12772,caught,MS Dhoni,HH Gibbs
12838,caught,SA Asnodkar,MK Tiwary
12849,caught,Sohail Tanvir,KD Karthik
12876,caught,GC Smith,S Dhawan
12888,caught,V Sehwag,Sohail Tanvir
12905,caught,G Gambhir,T Kohli (sub)
12913,caught,S Dhawan,RA Jadeja
12919,caught,MK Tiwary,SA Asnodkar
12940,caught,KD Karthik,M Kaif
12954,caught,MF Maharoof,YK Pathan
12961,bowled,M Kaif,
12975,stumped,SR Watson,KD Karthik
12985,caught,RA Jadeja,MF Maharoof
12987,caught,SK Warne,V Sehwag
12996,caught and bowled,M Rawat,
12997,run out,YK Pathan,"TM Dilshan,KD Karthik"
13001,bowled,A Mishra,
13014,caught,VY Mahesh,M Rawat
13019,run out,Mohammad Asif,"YK Pathan,M Rawat"
13022,caught,TM Dilshan,Sohail Tanvir
13027,run out,IK Pathan,"M Ntini,MS Gony"
13045,caught,Yuvraj Singh,M Muralitharan
13052,bowled,SE Marsh,
13076,caught,DPMD Jayawardene,PA Patel
13099,bowled,PP Chawla,
13108,caught,JR Hopes,PA Patel
13113,caught,KC Sangakkara,PA Patel
13197,caught,S Vidyut,WA Mota
13216,caught,WA Mota,SK Raina
13284,bowled,SR Watson,
13301,caught,M Kaif,MS Dhoni
13302,caught,RA Jadeja,CK Kapugedera
13306,run out,YK Pathan,SK Raina
13348,caught,S Vidyut,RA Jadeja
