id,batsman,bowler,runs
1997,YK Pathan,PP Ojha,6
2003,YK Pathan,D Kalyankrishna,6
2008,YK Pathan,RP Singh,6
2009,YK Pathan,RP Singh,4
2011,YK Pathan,RP Singh,4
2015,GC Smith,Shahid Afridi,4
2016,GC Smith,Shahid Afridi,6
2024,A Symonds,SK Warne,6
2025,A Symonds,SK Warne,4
2031,A Symonds,D Salunkhe,6
2034,A Symonds,YK Pathan,6
2040,RG Sharma,Pankaj Singh,6
2044,A Symonds,SK Trivedi,4
2049,A Symonds,SK Trivedi,4
2050,A Symonds,SK Trivedi,6
2052,A Symonds,SK Warne,4
2054,RG Sharma,SK Warne,4
2058,RG Sharma,MM Patel,4
2059,RG Sharma,MM Patel,4
2063,A Symonds,SK Warne,6
2066,A Symonds,SK Warne,6
2069,AS Yadav,MM Patel,4
2071,A Symonds,MM Patel,4
2076,A Symonds,MM Patel,4
2079,AS Yadav,SR Watson,4
2080,M Kaif,A Symonds,4
2089,M Kaif,A Symonds,6
2093,M Kaif,A Symonds,6
2094,M Kaif,A Symonds,6
2097,GC Smith,D Kalyankrishna,6
2098,GC Smith,D Kalyankrishna,4
2100,M Kaif,D Kalyankrishna,4
2101,GC Smith,WPUJC Vaas,4
2108,GC Smith,PP Ojha,4
2141,KC Sangakkara,A Nehra,4
2147,KC Sangakkara,SM Pollock,4
2153,KC Sangakkara,DS Kulkarni,6
2155,KC Sangakkara,DS Kulkarni,4
2157,KC Sangakkara,DS Kulkarni,4
2159,KC Sangakkara,Harbhajan Singh,4
2164,KC Sangakkara,DJ Bravo,4
2168,K Goel,DJ Bravo,6
2183,K Goel,A Nehra,4
2184,KC Sangakkara,SM Pollock,4
2187,KC Sangakkara,SM Pollock,4
2188,KC Sangakkara,SM Pollock,4
2195,B Lee,Harbhajan Singh,4
2197,B Lee,Harbhajan Singh,4
2202,VRV Singh,DS Kulkarni,4
2204,B Lee,DS Kulkarni,6
2213,L Ronchi,IK Pathan,6
2217,L Ronchi,IK Pathan,4
2223,DJ Bravo,B Lee,4
2232,DJ Bravo,VRV Singh,4
2234,DJ Bravo,VRV Singh,4
2236,RV Uthappa,VRV Singh,4
2246,RV Uthappa,PP Chawla,4
